Product Name,Price,Rating
NIVEA MEN Deep Body Lotion For Men - 400ml (Pack of 2),KSh 949,4.6 out of 5
"Maybelline Lasting Fix Makeup Setting Spray, Matte Finish","KSh 2,220",4.4 out of 5
Vitron V400 2.1Ch Bluetooth Speaker System,"KSh 2,809",3.9 out of 5
"NIVEA MEN Deep Antibacterial Anti-Perspirant Rollon,72h - 50 Ml (Pack Of 2)","KSh 1,040",4.4 out of 5
Fashionable Ladies Shoulder Bag Crossbody Single Shoulder Bag Coin Purse,KSh 699,4 out of 5
"Garnier Twin Pack Pure Active Charcoal Serum - 30ml Anti-Blemish With 4% Niacinamide, AHA And BHA (salicylic Acid) - Reduced Pimples And Dark Marks","KSh 2,405",4.4 out of 5
"VON VRT-195DRHS Double Door Direct Cool - 195L, Dark Silver","KSh 30,499",4.4 out of 5
6Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,KSh 899,3.6 out of 5
"Vision Plus 32"" FHD ANDROID TV + Free Wall Mount + 2 Year WRNTY","KSh 11,199",4.1 out of 5
"Garnier Skin Active Micellar Cleansing Water 3 In 1 For Sensitive Skin 400ml. Cleanses, Soothes And Removes Make Up.",KSh 522,4.5 out of 5
Nice One Set Of 6pcs 240ML High Quality Milk Juicer Beer Glass Cups Wine Water Glasses (GLASS CUP 7050),KSh 459,4.2 out of 5
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L-Black(1YR WRTY)","KSh 6,999",4.3 out of 5
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),"KSh 1,799",3.6 out of 5
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet (1YR WRTY),"KSh 5,999",4 out of 5
Seagrams Imperial Blue Whiskey - 750ml,KSh 749,4.1 out of 5
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000 mAh (Dual Sim), Titanium Grey  (1YR  WRTY)","KSh 12,055",4.2 out of 5
Maybelline Fit Me Hydrating Primer Luminous And Smooth,"KSh 1,475",4.5 out of 5
"NIVEA His & Hers Deo Pack - Deep Roll-On - 50ml, Pearl & Beauty Roll-On - 50ml",KSh 884,4.5 out of 5
NIVEA UV Face Shine Control Cream SPF 50 – 50ml Pack of 2,"KSh 2,600",4.5 out of 5
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack (1YR WRTY),"KSh 1,699",4 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Titan  (1YR WRTY),"KSh 33,176",4.1 out of 5
"Vision Plus VP8832DF - 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,890",3.9 out of 5
"Garnier Micellar Water With Vitamin C, Facial Cleanser & Makeup Remover, Brightening & Hydrating, For All Skin Types, Vegan, Cruelty Free, 13.5 Fl Oz (400mL)",KSh 543,4.4 out of 5
"Rashnik RN-999 Blender & Grinder 1.5 Litres, 350W – Brown","KSh 1,490",4 out of 5
Sonar SR-B5C Hot & Cold Standing Water Dispenser - Black/Golden (1YR WRTY),"KSh 3,523",3.6 out of 5
Women Backpack Bag Shoulder Bags PU Leather Travel Bag-Black,KSh 850,3.7 out of 5
Tisa Nyota 3 In 1 Ladies Handbags Women Bags Sling Bag-Black,"KSh 1,200",3.4 out of 5
HOMMY 3 Column Portable Wardrobe - Brown Cover,"KSh 2,399",3.7 out of 5
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White,KSh 899,4 out of 5
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),"KSh 17,999",4.3 out of 5
"Maybelline Sky High Lash Sensational Mascara, Limitless Length & Volume, Flex Tower Brush, Light-as-Air Feel, With Bamboo Extrac - Black","KSh 1,400",4.6 out of 5
"Infinix Smart 9, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Metallic Black (1YR WRTY)","KSh 10,969",3.9 out of 5
